,0,1
0,Keys to main groups ,key
1,"Key to Divisions, Subdivisions, and Classes ",key
3,"1. Plants without true flowers, reproducing ",key
4,by spores ,morphology
5,"Plants with flowers, reproducing by seeds. ",morphology
6,2. Plants bearing flowers having neither ,key
7,"styles nor stigmas, the naked ovules ",morphology
8,(seeds) on the upper side of a scale. ,morphology
9,Mostly evergreen trees and shrubs ,morphology
10,bearing cones or cone-like fruit ,key
11,Plants bearing flowers with the ovules ,key
12,enclosed in an ovary with styles or ,morphology
13,"stigmas, and bearing seeds in a closed ",morphology
14,ovary ,morphology
15,"3. Stems, when present, without central pith ",key
16,or annular layers; leaves usually parallel-veined; flower parts generally in ,key
17,threes or multiples of three; seeds with ,key
18,only one cotyledon or seed leaf. ,key
19,"Stems with a central pith, or if woody, the ",morphology
20,wood generally arranged in annular ,key
21,layers; leaves net-veined; seeds with ,morphology
22,two cotyledons or seed leaves ,key
24,Division: ,taxon_identification
25,"PTERIDOPHYTA, p. 32 ",key
26,Division: ,taxon_identification
27,"SPERM ATOPHYTA, p. 56 2 ",key
29,Subdivision: ,taxon_identification
30,"GYMNOSPERMAE, p. 56 ",key
32,Subdivision: ,taxon_identification
33,"ANGIOSPERMAE, p. 61 3 ",key
35,Class: ,taxon_identification
36,"MONOCOTYLEDONEAE, p. 61 ",key
38,Class: ,taxon_identification
39,"DICOTYLEDONEAE, p. 279 ",taxon_identification
41,Key to the Families ,key
42,Division: PTERIDOPHYTA — ferns and fern allies ,taxon_identification
43,"1. Leaves reduced to scales, whorled at the ",key
44,"internodes of strongly jointed stems, ",morphology
45,"forming a sheath EQUISETACEAE, p. 47 ",key
46,"Leaves reduced to green scales, awlshaped, or larger, not forming a sheath; ",morphology
47,stems not strongly jointed 2 ,key
48,"2. Leaves linear, grass-like, sheathing at ",key
49,"base ISOETACEAE , p. 50 ",key
50,Leaves not linear or grass-like 3 ,key
51,3. Leaves scale-like or awl-shaped 4 ,key
52,Leaves larger and broader 5 ,key
53,4. Sporangia borne in the upper axils of ,key
54,"ordinary leaves, or in terminal terete ",morphology
55,"strobiles; spores uniform in size LYCOPODIACEAE, p. 51 ",key
56,Sporangia borne in terminal four-sided ,key
57,"strobiles; spores of two different sizes SELAGINELLACEAE, p. 55 ",key
59,"5. Fronds (leaves) long-petioled, palmately ",key
60,"divided into 4 leaflets MARSILEACEAE, p. 47 ",key
61,Fronds not divided into 4 leaflets 6 ,key
62,"6. Plants with a single stalk, bearing a sterile ",key
63,"frond below, a fertile one above; sporangia arranged in two rows OPHIOGLOSSACEAE, p. 32 ",key
64,Plants not as above 7 ,key
65,"7. Sporangia naked, borne on much ",key
66,modified divisions at the tip or middle ,key
67,"of fronds OSMUNDACEAE, p. 35 ",key
68,"Sporangia covered, borne on fertile ",morphology
69,fronds similar to the sterile ones or on ,morphology
70,"modified fronds POLYPODIACEAE, p. 35 ",key
72,Division: SPERMATOPHYTA — seed-bearing plants ,taxon_identification
73,Subdivision: GYM NOS PER MAE — plants with naked seeds ,key
74,"1. Cones reduced to a single ovule, fruit a ",key
75,"one-seeded berry TAXACEAE, p. 56 ",taxon_identification
76,"Cones many-seeded, fleshy or woody 2 ",key
77,"2. Leaves scale-like or awl-shaped, often ",key
78,"overlapping; opposite or whorled CUPRESSACEAE, p. 60 ",key
79,"Leaves linear or needle-shaped, not overlapping; alternate or clustered PINACEAE, p. 56 ",key
81,Subdivision: ANGIOSPERMAE — plants with covered seeds ,key
82,Class: MONOCOTYLEDONEAE — monocotyledons ,taxon_identification
83,"Stems, when present, without central pith or annual layers; leaves usually ",morphology
84,parallel-veined; flower parts mostly in threes or multiples of three; seeds with ,key
85,"only one cotyledon (seed leaf)1. Plants aquatic, floating or submerged, with ",key
86,floating leaves or emersed inflorescence 2 ,key
87,"Plants not aquatic, or if growing in water, ",morphology
88,most of the plant emersed 4 ,key
89,"2. Plants small, floating, leaf-like; without ",key
90,differentiation between stems and ,morphology
91,"leaves LEMNACEAE, p. 245 ",key
92,"Plants larger, generally rooting; clear ",key
93,differentiation between stem and leaves 3 ,key
94,"3. Perianth absent or single and inconspicuous; plants monoecious ZOSTERACEAE, p. 65 ",key
95,"Perianth present, in two whorls; plants ",key
96,"dioecious HYDROCHARITACEAE, p. 73 ",taxon_identification
97,4. Perianth absent or inconspicuous 5 ,key
98,"Perianth present, conspicuous, in two series ",morphology
99,"of 3 segments, often brightly colored 1 1 ",key
100,"5. Inflorescence a dense, single, cylindrical ",key
101,"spike 8-15 cm long, 1-2.5 cm thick 6 ",morphology
102,Inflorescence not as above; if a single ,key
103,"spike, less than 1 cm thick 7 ",key
104,"6. Spike fleshy, subtended by a large bract ",key
105,"or spathe ARACEAE, p. 246 ",taxon_identification
106,"Spike not fleshy, bractless TYPHACEAE, p. 61 ",key
107,"7. Flowers in globular heads, the upper ones ",key
108,"staminate, the lower ones pistillate SPARGANIACEAE, p. 63 ",key
109,Flowers not in globular heads 8 ,key
110,"8. Perianth in two whorls, each of three ",key
111,segments 9 ,key
112,Perianth not in two whorls 10 ,key
113,9. Flowers in spike-like racemes; perianth of ,key
114,"greenish sepals and petals JUNCAGINACEAE, p. 68 ",key
115,"Flowers in branched inflorescences; perianth segments scale-like JUNCACEAE, p. 246 ",key
116,10. Flowers enclosed in two-ranked bracts ,key
117,with the lowest (glumes) empty; perianth reduced to minute lodicules or ,morphology
118,lacking; culms usually hollow; leaves ,key
119,"two-ranked GRAMINEAE, p. 73 ",taxon_identification
120,Flowers solitary in the axil of a single ,morphology
121,"bract (scale); perianth reduced to bristles, or scales, or lacking; culms usually ",key
122,"solid; leaves three-ranked CYPERACEAE, p. 181 ",key
123,"1 1. Perianth small, consisting of 3 green sepals and 3 deciduous whitish petals ALISMACEAE, p. 69 ",key
