,text,classification,reclassification
0,Keys to main groups ,key,blank
1,"Key to Divisions, Subdivisions, and Classes ",key,key
2,"1. Plants without true flowers, reproducing ",key,key
3,by spores ,morphology,morphology
4,"Plants with flowers, reproducing by seeds. ",morphology,morphology
5,2. Plants bearing flowers having neither ,key,key
6,"styles nor stigmas, the naked ovules ",morphology,morphology
7,(seeds) on the upper side of a scale. ,morphology,morphology
8,Mostly evergreen trees and shrubs ,morphology,morphology
9,bearing cones or cone-like fruit ,key,key
10,Plants bearing flowers with the ovules ,key,key
11,enclosed in an ovary with styles or ,morphology,morphology
12,"stigmas, and bearing seeds in a closed ",morphology,morphology
13,ovary ,morphology,morphology
14,"3. Stems, when present, without central pith ",key,key
15,or annular layers; leaves usually parallel-veined; flower parts generally in ,key,key
16,threes or multiples of three; seeds with ,key,key
17,only one cotyledon or seed leaf. ,key,key
18,"Stems with a central pith, or if woody, the ",morphology,key
19,wood generally arranged in annular ,key,key
20,layers; leaves net-veined; seeds with ,morphology,key
21,two cotyledons or seed leaves ,key,key
22,Division: ,taxon_identification,key
23,"PTERIDOPHYTA, p. 32 ",key,key
24,Division: ,taxon_identification,key
25,"SPERM ATOPHYTA, p. 56 2 ",key,key
26,Subdivision: ,taxon_identification,key
27,"GYMNOSPERMAE, p. 56 ",key,key
28,Subdivision: ,taxon_identification,key
29,"ANGIOSPERMAE, p. 61 3 ",key,key
30,Class: ,taxon_identification,key
31,"MONOCOTYLEDONEAE, p. 61 ",key,key
32,Class: ,taxon_identification,taxon_identification
33,"DICOTYLEDONEAE, p. 279 ",taxon_identification,taxon_identification
34,Key to the Families ,key,key
35,Division: PTERIDOPHYTA — ferns and fern allies ,taxon_identification,key
36,"1. Leaves reduced to scales, whorled at the ",key,key
37,"internodes of strongly jointed stems, ",morphology,key
38,"forming a sheath EQUISETACEAE, p. 47 ",key,key
39,"Leaves reduced to green scales, awlshaped, or larger, not forming a sheath; ",morphology,key
40,stems not strongly jointed 2 ,key,key
41,"2. Leaves linear, grass-like, sheathing at ",key,key
42,"base ISOETACEAE , p. 50 ",key,key
43,Leaves not linear or grass-like 3 ,key,key
44,3. Leaves scale-like or awl-shaped 4 ,key,key
45,Leaves larger and broader 5 ,key,key
46,4. Sporangia borne in the upper axils of ,key,key
47,"ordinary leaves, or in terminal terete ",morphology,key
48,"strobiles; spores uniform in size LYCOPODIACEAE, p. 51 ",key,key
49,Sporangia borne in terminal four-sided ,key,key
50,"strobiles; spores of two different sizes SELAGINELLACEAE, p. 55 ",key,key
51,"5. Fronds (leaves) long-petioled, palmately ",key,key
52,"divided into 4 leaflets MARSILEACEAE, p. 47 ",key,key
53,Fronds not divided into 4 leaflets 6 ,key,key
54,"6. Plants with a single stalk, bearing a sterile ",key,key
55,"frond below, a fertile one above; sporangia arranged in two rows OPHIOGLOSSACEAE, p. 32 ",key,key
56,Plants not as above 7 ,key,key
57,"7. Sporangia naked, borne on much ",key,key
58,modified divisions at the tip or middle ,key,key
59,"of fronds OSMUNDACEAE, p. 35 ",key,key
60,"Sporangia covered, borne on fertile ",morphology,morphology
61,fronds similar to the sterile ones or on ,morphology,morphology
62,"modified fronds POLYPODIACEAE, p. 35 ",key,key
63,Division: SPERMATOPHYTA — seed-bearing plants ,taxon_identification,key
64,Subdivision: GYM NOS PER MAE — plants with naked seeds ,key,key
65,"1. Cones reduced to a single ovule, fruit a ",key,key
66,"one-seeded berry TAXACEAE, p. 56 ",taxon_identification,key
67,"Cones many-seeded, fleshy or woody 2 ",key,key
68,"2. Leaves scale-like or awl-shaped, often ",key,key
69,"overlapping; opposite or whorled CUPRESSACEAE, p. 60 ",key,key
70,"Leaves linear or needle-shaped, not overlapping; alternate or clustered PINACEAE, p. 56 ",key,key
71,Subdivision: ANGIOSPERMAE — plants with covered seeds ,key,key
72,Class: MONOCOTYLEDONEAE — monocotyledons ,taxon_identification,taxon_identification
73,"Stems, when present, without central pith or annual layers; leaves usually ",morphology,morphology
74,parallel-veined; flower parts mostly in threes or multiples of three; seeds with ,key,key
75,"only one cotyledon (seed leaf)1. Plants aquatic, floating or submerged, with ",key,key
76,floating leaves or emersed inflorescence 2 ,key,key
77,"Plants not aquatic, or if growing in water, ",morphology,key
78,most of the plant emersed 4 ,key,key
79,"2. Plants small, floating, leaf-like; without ",key,key
80,differentiation between stems and ,morphology,key
81,"leaves LEMNACEAE, p. 245 ",key,key
82,"Plants larger, generally rooting; clear ",key,key
83,differentiation between stem and leaves 3 ,key,key
84,"3. Perianth absent or single and inconspicuous; plants monoecious ZOSTERACEAE, p. 65 ",key,key
85,"Perianth present, in two whorls; plants ",key,key
86,"dioecious HYDROCHARITACEAE, p. 73 ",taxon_identification,key
87,4. Perianth absent or inconspicuous 5 ,key,key
88,"Perianth present, conspicuous, in two series ",morphology,key
89,"of 3 segments, often brightly colored 1 1 ",key,key
90,"5. Inflorescence a dense, single, cylindrical ",key,key
91,"spike 8-15 cm long, 1-2.5 cm thick 6 ",morphology,key
92,Inflorescence not as above; if a single ,key,key
93,"spike, less than 1 cm thick 7 ",key,key
94,"6. Spike fleshy, subtended by a large bract ",key,key
95,"or spathe ARACEAE, p. 246 ",taxon_identification,key
96,"Spike not fleshy, bractless TYPHACEAE, p. 61 ",key,key
97,"7. Flowers in globular heads, the upper ones ",key,key
98,"staminate, the lower ones pistillate SPARGANIACEAE, p. 63 ",key,key
99,Flowers not in globular heads 8 ,key,key
100,"8. Perianth in two whorls, each of three ",key,key
101,segments 9 ,key,key
102,Perianth not in two whorls 10 ,key,key
103,9. Flowers in spike-like racemes; perianth of ,key,key
104,"greenish sepals and petals JUNCAGINACEAE, p. 68 ",key,key
105,"Flowers in branched inflorescences; perianth segments scale-like JUNCACEAE, p. 246 ",key,key
106,10. Flowers enclosed in two-ranked bracts ,key,key
107,with the lowest (glumes) empty; perianth reduced to minute lodicules or ,morphology,key
108,lacking; culms usually hollow; leaves ,key,key
109,"two-ranked GRAMINEAE, p. 73 ",taxon_identification,taxon_identification
110,Flowers solitary in the axil of a single ,morphology,morphology
111,"bract (scale); perianth reduced to bristles, or scales, or lacking; culms usually ",key,key
112,"solid; leaves three-ranked CYPERACEAE, p. 181 ",key,key
113,"1 1. Perianth small, consisting of 3 green sepals and 3 deciduous whitish petals ALISMACEAE, p. 69 ",key,key
114,"Perianth usually large, consisting of sepals ",key,key
115,"and petals usually alike, but petals not ",key,key
116,"deciduous, variously colored 12 ",key,key
117,"12. Flowers irregular, stamens 1 or 2 ORCHIDACEAE, p. 270 ",key,key
118,"Flowers regular, stamens 3 or 6 13 ",key,key
119,"13. Stamens 3, flowers borne in a spathe IRIDACEAE, p. 268 ",key,key
120,"Stamens 6, flowers not borne in a spathe 14 ",key,key
121,"14. Ovary inferior AMARYLLIDACEAE, p. 268 ",key,key
122,Ovary superior 15 ,key,key
123,15. Leaves sheathing the stem; inflorescence ,key,key
124,"a cyme, subtended by strongly sheathing bracts COMMELINACEAE, p. 246 ",key,key
125,Leaves not sheathing the stem; ,key,key
126,inflorescence not subtended by ,key,key
127,"strongly sheathing bracts LILIACEAE, p. 256 ",key,key
128,Class: DICOTYLEDONEAE — dicotyledons ,taxon_identification,taxon_identification
129,"Stems with a central pith, or, if woody, the wood generally arranged in ",morphology,morphology
130,annual layers; leaves net-veined; seeds with two cotyledons (seed leaves). ,morphology,morphology
131,"A. APETALOUS Flowers with only one floral ring, with ",key,key
132,sepals but not petals (p. 23). ,key,key
133,"B. CHORIPETALOUS Flowers with two floral rings, and with ",key,key
134,each petal distinct from the others (p. 25). ,key,key
135,"C. SYMPETALOUS Flowers with two floral rings, but with ",key,key
136,the petals wholly or partly united ,key,key
