,classification,predictions,dataset_name,row_id,classification,length,row,species,text
16024,key,morphology,fna,2635,key,286,,,"1 Leaves not densely crowded, blade linear, terete or subterete, at least in distal 1/2, 5-30 × 0.7-1.5 mm; stems 7-30 cm morphology 1 Nitrophila occidentalis 1 Leaves densely crowded, blade broadly ovate, flat, 2.3-4(-4.7) × 2.5-3.5 mm; stems 3-10 cm morphology 2 Nitrophila mohavensis"
7491,key,morphology,bc,1803,key,11,,,           
17135,key,morphology,fna,419,key,793,,,"1 Calyptra minute, tightly adherent at or near the apex of the capsule, persistent; capsule cleistocarpous or with a ring of differentiated cells at or just distal to the equator, ± globose, without a well-developed, multicellular apiculus; costa commonly absent, but occasionally suggested by a few median cells with thick walls or in a short and indistinct double layer distal to the leaf middle; laminal cells lax, hyaline, smooth. morphology 1 Micromitrium 1 Calyptra covering most of the distal half of the capsule, fugacious; capsule cleistocarpous, ovoid, and distinctly apiculate; costa well-developed, except mostly absent in Ephemerum serratum; laminal cells of the leaves lax in the proximal half and in the distal half firmer, smaller, and usually papillose. morphology 2 Ephemerum"
1698,taxon_identification,habitat,bc,3748,taxon_identification,42,,Cardamine bellidifolia,Alpine Bittercress (alpine bitter-cress)  
3931,taxon_identification,morphology,bc,4807,taxon_identification,14,,Geum aleppicum,yellow avens  
6338,morphology,habitat,fna,5388,morphology,140,,,"Salix ×sepulcralis Simonkai: Weeping willow, S. alba × S. babylonica, is introduced from Europe and widely naturalized throughout the world."
3403,key,morphology,fna,1743,key,186,,,"1 Capsule cleistocarpic, immersed to short-exserted, neck conic to ovate. morphology 1 Bruchia 1 Capsule stegocarpic, long-exserted, neck conic to long-cylindric. morphology 2 Trematodon"
736,key,morphology,fna,590,key,1596,,,"1 Lacunar tissue evident at leaf base; larger roots pale, thickened, septate, unbranched; perianth parts in 2s (except in Eriocaulon cinereum and E. microcephalum), petals with glands on adaxial surface; stamens 3–4 or 6; anthers 2-locular, apex of staminal column with 2–3 glands, glands unappendaged; pistil 2(–3)-carpellate; style unappendaged, 2(–3)-branched morphology 1 Eriocaulon 1 Lacunar tissue not evident at leaf base; larger roots either dark, fibrous, and evidently branched or pale, thickened, and spongy, neither septate nor branched; perianth parts in 3s (except in Lachnocaulon digynum), petals if present without glands; stamens (2–)3; anthers 1–2-locular; apex of staminal column usually with 3 glands, glands appendaged or unappendaged; pistil (2–)3-carpellate; style appendaged, 2–3-branched. morphology 2 2 Roots dark, slender, fibrous, evidently branched; scapes glabrous or hairy, hairs neither swollen nor glandular; expanded inflorescences ovoid to globose or short-cylindric, basal involucral bracts reflexed, obscured by inflorescence; hairs of perianth club-shaped; staminal filaments adnate to rim of androphore; anthers 1-locular; style branches 2-cleft morphology 2 Lachnocaulon 2 Roots pale, thickened, spongy, appearing unbranched; scapes hairy, at least some hairs swollen basally, often glandular distally; expanded inflorescences hemispheric to globose, basal bracts not obscured by inflorescence; hairs of perianth tapering, acute, not club-shaped; staminal filaments low in corolla tube; anthers 2-locular; style branches undivided morphology 3 Syngonanthus"
8170,taxon_identification,habitat,bc,4509,taxon_identification,36,,Hyacinthoides non-scripta,English-bluebell (common bluebell)  
9148,key,taxon_identification,bc,27,key,204,,Myriophyllum farwellii,There are ten species of Myriophyllum found in the Pacific Northwest (Ceska and Ceska 2010). View a key to the genus Myriophyllum for this region prepared by Oldriska Ceska and Adolf Ceska (BEN #428).    
