,classification,predictions,dataset_name,row_id,classification,length,row,species,text
2049,key,morphology,bc,1169,key,117,,,4.	Stems with well-defined infrastipular prickles (pair of prickles at or just below each node) or nearly unarmed.   
192,key,morphology,bc,1332,key,24,,,1. Plants perennials.   
425,taxon_identification,morphology,bc,4245,taxon_identification,40,,Erythronium oregonum ssp. oregonum,white fawn lily (giant white fawnlily)  
397,key,morphology,budds,21,key,79,136.0,,"Rootlets solitary, one to a frond Lemna

Rootlets several to a frond Spirodela
"
2416,key,morphology,fna,1598,key,416,,,"1 Pseudobulbs not elongate, suborbicular, strongly flattened. morphology 1a Prosthechea boothiana var. erythronioides 1 Pseudobulbs mostly elongate, rarely ovoid, somewhat flattened. morphology 2 2 Inflorescences elongate, to 45 cm, pedunculate; sepals more than 20 mm. morphology 2a Prosthechea cochleata var. triandra 2 Inflorescences short, 0.5 cm, sessile; sepals less than 8 mm. morphology 3 Prosthechea pygmaea"
2158,morphology,key,fna,4354,morphology,84,,,"Proximal midcauline leaf blades broadly lanceolate, sparsely hairy. 2n = 18, 36, 54."
2591,morphology,key,fna,5345,morphology,413,,,"Shrubs, 1.5–3.5 m. Stems erect; branchlets grayish brown to light gray, glaucous. Leaf blades of fascicled and non-fascicled leaves flat, elliptic to widely oblanceolate, 6–22(–30) × 3–12(–22) mm, length usually 2+ times width, margins entire, apex usually obtuse to rounded, rarely truncate. Flowers: sepals, petals, and nectary usually white, sometimes pale blue or pale lavender. Capsules 4–6 mm wide. 2n = 24."
1668,taxon_identification,habitat,bc,4999,taxon_identification,41,,Cuscuta pacifica var. pacifica,Cuscuta pacifica Engelm. var. pacifica   
1964,key,morphology,fna,618,key,330,,,"1. Spikes curved and twisted; upper sheath margins expanded, enclosing the lowest spikelets; anthers 0.5-1.3 mm long morphology 1 Parapholis incurva 1. Spikes straight, not twisted; sheath margins usually all alike, the lowest spikelets generally exserted beyond the sheaths; anthers 1.5-4 mm long morphology 2 Parapholis strigosa"
1651,key,morphology,bc,1550,key,83,,,1.	Stipules entire to coarsely toothed; inflorescence single to several-flowered.  
613,morphology,key,bc,2896,morphology,62,,Dryas integrifolia ssp. integrifolia,"Fruits Numerous achenes with long (to 4 cm), feathery styles. "
2087,key,morphology,budds,53,key,179,28.0,,"Megaspores 0.3-0.5 mm in diam, white or
bluish; surface with small tubercles or
wrinkled /. bolandeh

Megaspores 0.4-0.6 mm in diam; surface dis-
tinctly spinulose /. echinospora
"
